"Tender Number";"Status";"Estimated Value";"Title";"Department";"Location";"Category";"Description";"Published Date"
"RDPR/2023-24/SE0713";"PUBLISHED";"900000";"TPH/Accounts/CR-34/2023-24";"Rural Development and Panchayat Raj Department";"RDPR Taluka Panchayat Office Hiriyur";"SERVICES";"EO and AD Vehicle Tender";"2024-12-02 23:52:57"
"BDA/2023-24/RD/WORK_INDENT23";"PUBLISHED";"160000000";"Improvements & Asphalting of internal roads in 1, 2, 7 and 8th block Jakkur village of Arkavathy Layout Bangalore";"Bengaluru Development Authority";"BDA North Division";"WORKS";"Asphalting of Internal Roads in Layout";"2024-12-02 23:18:17"
"KFD/2023-24/OW/WORK_INDENT6559";"PUBLISHED";"1363250";"Advance work ANR Model-2 Bilisiri Sy No.75 25.00 Ha in Sagar Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work ANR Model-2 Bilisiri Sy No.75 25.00 Ha in Sagar Range";"2024-12-02 23:16:34"
"KFD/2023-24/OW/WORK_INDENT6591";"PUBLISHED";"2726500";"Advance work ANR Model-2 Gowthampura sy no.342 25.00 Ha and Telginamane 25.00 Ha Total 50.00 Ha Choradi Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work ANR Model-2 Gowthampura sy no.342 25.00 Ha and Telginamane 25.00 Ha Total 50.00 Ha Choradi Range";"2024-12-02 23:15:51"
"KFD/2023-24/OW/WORK_INDENT6593";"PUBLISHED";"1363250";"Advance work ANR Model-02 Talagadde Sy.No.1 Anavatti Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work ANR Model-02 Talagadde Sy.No.1 Anavatti Range";"2024-12-02 23:15:12"
"KFD/2023-24/OW/WORK_INDENT6594";"PUBLISHED";"1363250";"Advance work ANR Model-02 Basavanandihalli Sy.No.46 25.00 Ha. Shiralakoppa Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work ANR Model-02 Basavanandihalli Sy.No.46 25.00 Ha. Shiralakoppa Range";"2024-12-02 23:14:44"
"KFD/2023-24/OW/WORK_INDENT6609";"PUBLISHED";"1363250";"Advance work AR Model in Saluru Sy No.829 25.00 Ha Ambligola Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work AR Model in Saluru Sy.No.829 25.00 Ha Ambligola Range";"2024-12-02 23:14:16"
"KFD/2023-24/OW/WORK_INDENT6614";"PUBLISHED";"1363250";"Advance work AR Model in Halanduru Sy.No.49 25.00 Ha. Hosanagara Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work AR Model in Halanduru Sy.No.49 25.00 Ha. Hosanagara Range";"2024-12-02 23:13:34"
"KFD/2023-24/OW/WORK_INDENT6620";"PUBLISHED";"1363250";"Advance work AR Model in Hilkunji Sy.No.4 25.00 Ha. Nagar Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work AR Model in Hilkunji Sy.No.4 25.00 Ha. Nagar Range";"2024-12-02 23:12:46"
"BDA/2023-24/RD/WORK_INDENT24";"PUBLISHED";"81000000";"Improvements & Asphalting of internal roads in 18th block Byrathikhane village of Arkavathy Layout Bangalore";"Bengaluru Development Authority";"BDA North Division";"WORKS";"Asphalting of Internal Roads";"2024-12-02 23:12:42"
